epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9362,1.01917,2.29661,1.19416,0.43056,0.82959,0.53507,0.38436,0.93921,2.09348,1.07538,0.000549997,0.000549997,0.000549997
2,32.8913,1.03153,1.55533,1.13339,0.45272,0.75918,0.53155,0.37617,0.95293,1.98068,1.06618,0.00108377,0.00108377,0.00108377
3,47.3221,1.06458,1.4514,1.18762,0.3809,0.87959,0.53623,0.37934,0.97276,1.5689,1.14697,0.00159554,0.00159554,0.00159554
4,59.5417,1.16084,1.51867,1.24556,0.93943,0.42857,0.54403,0.36772,0.98197,1.53791,1.15362,0.00156798,0.00156798,0.00156798
5,72.3496,1.15974,1.54878,1.23439,0.83347,0.43878,0.48801,0.33982,0.99043,1.66361,1.11119,0.00153497,0.00153497,0.00153497
6,85.3959,1.05162,1.37541,1.15374,0.4154,0.85,0.54437,0.40078,0.94705,1.38999,1.08136,0.00150197,0.00150197,0.00150197
7,98.1541,1.03218,1.35197,1.16222,0.48251,0.7398,0.63198,0.44625,0.97428,1.27638,1.09934,0.00146896,0.00146896,0.00146896
8,110.728,1.04007,1.27487,1.13509,0.7429,0.59724,0.61707,0.43385,0.89885,1.27987,1.06269,0.00143595,0.00143595,0.00143595
9,123.132,1.00729,1.30619,1.16183,0.53336,0.94318,0.65199,0.49508,0.93372,1.2508,1.06643,0.00140295,0.00140295,0.00140295
10,135.2,1.0261,1.18459,1.18196,0.60277,0.59691,0.66051,0.48116,0.89354,1.27892,1.06762,0.00136994,0.00136994,0.00136994
11,147.323,0.97492,1.18636,1.11887,0.66455,0.7398,0.72915,0.55245,0.8675,1.15407,1.05342,0.00133693,0.00133693,0.00133693
12,159.137,1.02071,1.19328,1.1439,0.70721,0.8398,0.79126,0.61765,0.89054,1.06004,1.04789,0.00130393,0.00130393,0.00130393
13,170.886,0.98947,1.11803,1.12461,0.82277,0.82509,0.84357,0.63008,0.89958,1.09375,1.05646,0.00127092,0.00127092,0.00127092
14,183.039,0.97471,1.06498,1.11699,0.78106,0.77517,0.79831,0.6177,0.86622,1.07448,1.03448,0.00123791,0.00123791,0.00123791
15,194.812,1.0065,1.11773,1.15741,0.81241,0.79053,0.85413,0.66602,0.86847,0.94343,1.03535,0.00120491,0.00120491,0.00120491
16,207.019,1.02499,1.11861,1.15342,0.88579,0.79898,0.87385,0.63894,0.86569,1.01336,1.03802,0.0011719,0.0011719,0.0011719
17,219.791,0.93573,1.0348,1.11205,0.612,0.82749,0.71538,0.54494,0.87753,0.96988,1.05246,0.00113889,0.00113889,0.00113889
18,232.043,0.98885,1.07857,1.14653,0.71593,0.92959,0.83544,0.64496,0.92086,0.93932,1.04274,0.00110589,0.00110589,0.00110589
