epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7389,1.17209,0.84875,1.30802,0.89199,0.86208,0.92521,0.59761,1.26353,0.77827,1.18416,0.000549997,0.000549997,0.000549997
2,30.0191,1.15099,0.9663,1.30292,0.85655,0.8,0.8653,0.55828,1.23355,0.84109,1.17813,0.00108377,0.00108377,0.00108377
3,43.7026,1.19467,0.94251,1.3049,0.88772,0.88254,0.94141,0.59698,1.17542,0.90358,1.17296,0.00159554,0.00159554,0.00159554
4,56.0946,1.1403,1.00138,1.27459,0.84133,0.95318,0.92906,0.57243,1.24264,0.82858,1.20543,0.00156798,0.00156798,0.00156798
5,68.3183,1.16141,1.0201,1.27615,0.58109,0.78227,0.72062,0.42904,1.31416,0.99763,1.28352,0.00153497,0.00153497,0.00153497
6,80.7403,1.13663,0.9693,1.28861,0.78693,0.78081,0.78022,0.48746,1.25215,0.9427,1.21243,0.00150197,0.00150197,0.00150197
7,92.8636,1.14347,0.93422,1.27333,0.73087,0.72078,0.8211,0.53131,1.20848,0.95434,1.20078,0.00146896,0.00146896,0.00146896
8,105.147,1.12729,0.9616,1.25333,0.83995,0.81939,0.83238,0.50369,1.34486,0.86254,1.28585,0.00143595,0.00143595,0.00143595
9,117.492,1.1001,0.92488,1.24135,0.70239,0.81913,0.82453,0.5116,1.21737,1.05712,1.21573,0.00140295,0.00140295,0.00140295
10,129.716,1.10897,0.93565,1.29103,0.80074,0.7898,0.82869,0.46114,1.43743,0.91953,1.39111,0.00136994,0.00136994,0.00136994
11,143.111,1.12532,0.9285,1.26065,0.90754,0.79898,0.89635,0.58365,1.28074,0.78818,1.2239,0.00133693,0.00133693,0.00133693
12,154.854,1.12674,0.9016,1.25977,0.84956,0.85847,0.9009,0.51853,1.30442,0.82146,1.23486,0.00130393,0.00130393,0.00130393
13,166.969,1.12377,0.90601,1.24749,0.90773,0.83015,0.88935,0.54399,1.20246,0.74705,1.18801,0.00127092,0.00127092,0.00127092
14,179.049,1.07061,0.84519,1.21871,0.84059,0.9,0.92849,0.59545,1.23837,0.75863,1.18682,0.00123791,0.00123791,0.00123791
15,191.178,1.08466,0.9013,1.23313,0.98658,0.86883,0.97078,0.61614,1.28861,0.69188,1.22384,0.00120491,0.00120491,0.00120491
16,203.22,1.06719,0.88209,1.22711,0.90226,0.83508,0.96151,0.62805,1.20259,0.76599,1.17258,0.0011719,0.0011719,0.0011719
17,215.94,1.1071,0.89764,1.25341,0.85111,0.84006,0.92391,0.60022,1.25415,0.75704,1.18878,0.00113889,0.00113889,0.00113889
18,228.25,1.12597,0.88836,1.27093,0.96965,0.87069,0.94323,0.60892,1.27859,0.72587,1.18463,0.00110589,0.00110589,0.00110589
19,240.156,1.06328,0.82776,1.23644,0.91412,0.85918,0.92738,0.61035,1.17389,0.73502,1.13512,0.00107288,0.00107288,0.00107288
20,252.349,1.09518,0.86252,1.2501,0.9111,0.85918,0.88848,0.56742,1.15194,0.7627,1.14837,0.00103987,0.00103987,0.00103987
21,264.042,1.08672,0.82579,1.23167,0.90405,0.827,0.9237,0.59096,1.18026,0.76471,1.15386,0.00100687,0.00100687,0.00100687
22,275.435,1.11591,0.88772,1.268,0.89173,0.93594,0.98685,0.55471,1.42198,0.77708,1.30261,0.000973861,0.000973861,0.000973861
23,287.459,1.05606,0.77963,1.22213,0.97973,0.93442,0.97898,0.67764,1.1116,0.62183,1.11335,0.000940855,0.000940855,0.000940855
24,299.37,1.07235,0.82222,1.25463,0.94396,0.94965,0.97032,0.59344,1.35677,0.67936,1.24452,0.000907848,0.000907848,0.000907848
25,311.509,1.09862,0.83899,1.24,0.91156,0.99589,0.98495,0.602,1.31891,0.6742,1.22591,0.000874842,0.000874842,0.000874842
26,322.909,1.03919,0.83367,1.2262,0.93213,0.95408,0.96489,0.66531,1.14953,0.64125,1.13411,0.000841835,0.000841835,0.000841835
27,334.925,1.05519,0.77804,1.22793,0.94465,0.96939,0.98704,0.62189,1.26897,0.64368,1.18494,0.000808828,0.000808828,0.000808828
28,346.632,1.07062,0.8088,1.23024,0.87359,0.96883,0.97561,0.59877,1.28567,0.70001,1.21268,0.000775822,0.000775822,0.000775822
29,358.003,0.98995,0.75618,1.19622,0.88789,0.9663,0.97917,0.66343,1.10353,0.64719,1.12503,0.000742815,0.000742815,0.000742815
30,369.683,1.05147,0.79789,1.2462,0.87989,0.95991,0.96682,0.6163,1.213,0.6662,1.18661,0.000709809,0.000709809,0.000709809
31,381.996,1.00035,0.73712,1.19442,0.97054,0.91584,0.96975,0.62737,1.25732,0.62419,1.19413,0.000676802,0.000676802,0.000676802
32,394.277,1.00651,0.74956,1.20756,0.91937,0.92959,0.96842,0.65196,1.10965,0.57747,1.12319,0.000643795,0.000643795,0.000643795
33,406.272,1.04867,0.77135,1.23866,0.91258,0.95918,0.9618,0.57621,1.30838,0.65476,1.21947,0.000610789,0.000610789,0.000610789
34,418.07,1.01393,0.70815,1.19906,0.86618,0.87959,0.96911,0.65409,1.13103,0.61286,1.12509,0.000577782,0.000577782,0.000577782
35,430.046,0.95185,0.7145,1.18687,0.93817,0.86645,0.96695,0.67007,1.12025,0.6232,1.12936,0.000544776,0.000544776,0.000544776
36,442.489,0.98828,0.74165,1.21547,0.90406,0.93938,0.97655,0.64449,1.26262,0.64715,1.19793,0.000511769,0.000511769,0.000511769
37,454.077,1.00265,0.72763,1.19263,0.87636,0.96314,0.9773,0.58451,1.41973,0.66929,1.26723,0.000478762,0.000478762,0.000478762
38,465.891,1.00816,0.72985,1.20469,0.93604,0.9398,0.98168,0.66979,1.13572,0.60304,1.12517,0.000445756,0.000445756,0.000445756
39,477.788,0.92151,0.66448,1.15627,0.99321,0.92315,0.98089,0.69782,1.08219,0.56649,1.10866,0.000412749,0.000412749,0.000412749
